gas_case,ndc_scenario,year,gas_shadow_usd_per_twh_th
baseline,baseline_no_policy,2025,4292732100.0
baseline,baseline_no_policy,2026,25681633.0
baseline,baseline_no_policy,2027,22431778.0
baseline,baseline_no_policy,2028,19299796.0
baseline,baseline_no_policy,2029,16676053.0
baseline,baseline_no_policy,2030,14472475.0
baseline,baseline_no_policy,2031,12335811.0
baseline,baseline_no_policy,2032,10561319.0
baseline,baseline_no_policy,2033,9084614.8
baseline,baseline_no_policy,2034,7641923.6
baseline,baseline_no_policy,2035,2059819.8
baseline,baseline_no_policy,2036,2289644.9
baseline,baseline_no_policy,2037,1575942.1
baseline,baseline_no_policy,2038,1394375.2
baseline,baseline_no_policy,2039,884618.9
baseline,baseline_no_policy,2040,1120723.7
baseline,baseline_no_policy,2041,990064.75
baseline,baseline_no_policy,2042,873899.8
baseline,baseline_no_policy,2043,770673.4
baseline,baseline_no_policy,2044,678993.11
baseline,baseline_no_policy,2045,15215047.0
upside,baseline_no_policy,2025,4292732100.0
upside,baseline_no_policy,2026,25681633.0
upside,baseline_no_policy,2027,22431778.0
upside,baseline_no_policy,2028,19299796.0
upside,baseline_no_policy,2029,16676053.0
upside,baseline_no_policy,2030,14472475.0
upside,baseline_no_policy,2031,12335811.0
upside,baseline_no_policy,2032,10561319.0
upside,baseline_no_policy,2033,9084614.8
upside,baseline_no_policy,2034,7641923.6
upside,baseline_no_policy,2035,2059819.8
upside,baseline_no_policy,2036,2289644.9
upside,baseline_no_policy,2037,1575942.1
upside,baseline_no_policy,2038,1394375.2
upside,baseline_no_policy,2039,884618.9
upside,baseline_no_policy,2040,1120723.7
upside,baseline_no_policy,2041,990064.75
upside,baseline_no_policy,2042,873899.8
upside,baseline_no_policy,2043,770673.4
upside,baseline_no_policy,2044,678993.11
upside,baseline_no_policy,2045,15215047.0
downside,baseline_no_policy,2025,4292732100.0
downside,baseline_no_policy,2026,3902483800.0
downside,baseline_no_policy,2027,3547712500.0
downside,baseline_no_policy,2028,2981189100.0
downside,baseline_no_policy,2029,2605324600.0
downside,baseline_no_policy,2030,2285539900.0
downside,baseline_no_policy,2031,1978734200.0
downside,baseline_no_policy,2032,1720076000.0
downside,baseline_no_policy,2033,1501393600.0
downside,baseline_no_policy,2034,1290501100.0
downside,baseline_no_policy,2035,583653140.0
downside,baseline_no_policy,2036,580903280.0
downside,baseline_no_policy,2037,467112660.0
downside,baseline_no_policy,2038,420028080.0
downside,baseline_no_policy,2039,335645810.0
downside,baseline_no_policy,2040,343312640.0
downside,baseline_no_policy,2041,308631480.0
downside,baseline_no_policy,2042,603248310.0
downside,baseline_no_policy,2043,772085610.0
downside,baseline_no_policy,2044,701896010.0
downside,baseline_no_policy,2045,638087280.0
shock_recovery,baseline_no_policy,2025,4292732100.0
shock_recovery,baseline_no_policy,2026,25681633.0
shock_recovery,baseline_no_policy,2027,22431778.0
shock_recovery,baseline_no_policy,2028,19299796.0
shock_recovery,baseline_no_policy,2029,16676053.0
shock_recovery,baseline_no_policy,2030,14472475.0
shock_recovery,baseline_no_policy,2031,12335811.0
shock_recovery,baseline_no_policy,2032,10561319.0
shock_recovery,baseline_no_policy,2033,21076003.0
shock_recovery,baseline_no_policy,2034,0.0
shock_recovery,baseline_no_policy,2035,0.0
shock_recovery,baseline_no_policy,2036,0.0
shock_recovery,baseline_no_policy,2037,1575942.1
shock_recovery,baseline_no_policy,2038,1394375.2
shock_recovery,baseline_no_policy,2039,884618.9
shock_recovery,baseline_no_policy,2040,1120723.7
shock_recovery,baseline_no_policy,2041,990064.75
shock_recovery,baseline_no_policy,2042,873899.8
shock_recovery,baseline_no_policy,2043,770673.4
shock_recovery,baseline_no_policy,2044,678993.11
shock_recovery,baseline_no_policy,2045,15215047.0
baseline,ndc3_unconditional,2025,4292732100.0
baseline,ndc3_unconditional,2026,0.0
baseline,ndc3_unconditional,2027,0.0
baseline,ndc3_unconditional,2028,0.0
baseline,ndc3_unconditional,2029,0.0
baseline,ndc3_unconditional,2030,0.0
baseline,ndc3_unconditional,2031,0.0
baseline,ndc3_unconditional,2032,0.0
baseline,ndc3_unconditional,2033,0.0
baseline,ndc3_unconditional,2034,0.0
baseline,ndc3_unconditional,2035,0.0
baseline,ndc3_unconditional,2036,0.0
baseline,ndc3_unconditional,2037,0.0
baseline,ndc3_unconditional,2038,0.0
baseline,ndc3_unconditional,2039,0.0
baseline,ndc3_unconditional,2040,0.0
baseline,ndc3_unconditional,2041,0.0
baseline,ndc3_unconditional,2042,0.0
baseline,ndc3_unconditional,2043,0.0
baseline,ndc3_unconditional,2044,0.0
baseline,ndc3_unconditional,2045,0.0
upside,ndc3_unconditional,2025,4292732100.0
upside,ndc3_unconditional,2026,0.0
upside,ndc3_unconditional,2027,0.0
upside,ndc3_unconditional,2028,0.0
upside,ndc3_unconditional,2029,0.0
upside,ndc3_unconditional,2030,0.0
upside,ndc3_unconditional,2031,0.0
upside,ndc3_unconditional,2032,0.0
upside,ndc3_unconditional,2033,0.0
upside,ndc3_unconditional,2034,0.0
upside,ndc3_unconditional,2035,0.0
upside,ndc3_unconditional,2036,0.0
upside,ndc3_unconditional,2037,0.0
upside,ndc3_unconditional,2038,0.0
upside,ndc3_unconditional,2039,0.0
upside,ndc3_unconditional,2040,0.0
upside,ndc3_unconditional,2041,0.0
upside,ndc3_unconditional,2042,0.0
upside,ndc3_unconditional,2043,0.0
upside,ndc3_unconditional,2044,0.0
upside,ndc3_unconditional,2045,0.0
downside,ndc3_unconditional,2025,4292732100.0
downside,ndc3_unconditional,2026,0.0
downside,ndc3_unconditional,2027,0.0
downside,ndc3_unconditional,2028,0.0
downside,ndc3_unconditional,2029,0.0
downside,ndc3_unconditional,2030,0.0
downside,ndc3_unconditional,2031,0.0
downside,ndc3_unconditional,2032,1748593400.0
downside,ndc3_unconditional,2033,1526287700.0
downside,ndc3_unconditional,2034,1311901200.0
downside,ndc3_unconditional,2035,593355020.0
downside,ndc3_unconditional,2036,590555450.0
downside,ndc3_unconditional,2037,474878540.0
downside,ndc3_unconditional,2038,427011540.0
downside,ndc3_unconditional,2039,341230150.0
downside,ndc3_unconditional,2040,349020930.0
downside,ndc3_unconditional,2041,313763420.0
downside,ndc3_unconditional,2042,648251440.0
downside,ndc3_unconditional,2043,772085610.0
downside,ndc3_unconditional,2044,701896010.0
downside,ndc3_unconditional,2045,638087280.0
shock_recovery,ndc3_unconditional,2025,4292732100.0
shock_recovery,ndc3_unconditional,2026,0.0
shock_recovery,ndc3_unconditional,2027,0.0
shock_recovery,ndc3_unconditional,2028,0.0
shock_recovery,ndc3_unconditional,2029,0.0
shock_recovery,ndc3_unconditional,2030,0.0
shock_recovery,ndc3_unconditional,2031,0.0
shock_recovery,ndc3_unconditional,2032,0.0
shock_recovery,ndc3_unconditional,2033,0.0
shock_recovery,ndc3_unconditional,2034,0.0
shock_recovery,ndc3_unconditional,2035,0.0
shock_recovery,ndc3_unconditional,2036,0.0
shock_recovery,ndc3_unconditional,2037,0.0
shock_recovery,ndc3_unconditional,2038,0.0
shock_recovery,ndc3_unconditional,2039,0.0
shock_recovery,ndc3_unconditional,2040,0.0
shock_recovery,ndc3_unconditional,2041,0.0
shock_recovery,ndc3_unconditional,2042,0.0
shock_recovery,ndc3_unconditional,2043,0.0
shock_recovery,ndc3_unconditional,2044,0.0
shock_recovery,ndc3_unconditional,2045,0.0
