arm,cap_fraction,annual_cap_tco2,status,npv_cost,real_expenditure,voll_penalty,cum_emissions,cum_unserved,solar_total_mw,storage_mwh,system_lcoe,gas_share_2030,solar_share_2045
public_only_tight,1.0,7740634.934457617,optimal,236051210941.12823,7442988411.0,228608222530.0,160428682.99393004,40.09911819,10403.17134,0.0,874.3397039834084,0.6415150394407214,0.5837799707511722
public_only_tight,0.9625,7450361.124415456,optimal,256907983581.51083,7391560742.0,249516422839.0,156299134.34678,43.302601499999994,10694.684280000001,0.0,959.0208115167428,0.6723445011110912,0.5993882213887197
public_only_tight,0.925,7160087.314373296,optimal,308943825980.7073,7286750151.0,301657075830.0,150361834.05894005,50.60378663,10986.19732,0.0,1176.1597258333409,0.707272308803003,0.6149964741613749
public_only_tight,0.8875,6869813.504331134,optimal,365452367102.1735,7175881849.0,358276485253.0,144266083.82403004,58.75323730000001,11277.710210000001,0.0,1421.939886317467,0.7521352231352575,0.6306047238738673
public_only_tight,0.85,6579539.694288975,optimal,422350871900.729,7065013633.0,415285858267.0,138170333.58912,67.11828,11569.22325,0.0,1680.6053194450187,0.7895235075746377,0.6462129765850243
public_only_tight,0.8125,6289265.884246814,optimal,479444655219.6468,6954145372.0,472490509848.0,132074583.35420996,75.5912818,11860.7362,0.0,1952.2291068511229,0.8244646340460964,0.6618212275731392
public_only_tight,0.775,5998992.0742046535,optimal,536969156912.83594,6843277125.0,530125879788.0,125978833.11929993,84.32098232000001,12152.249189999999,0.0,2239.006174205071,0.8456053982873873,0.6774294793090991
public_only_tight,0.7375,5708718.264162493,optimal,594976669411.4979,6732408881.0,588244260530.0,119883082.88439003,93.33179170000001,12443.762169999998,0.0,2542.49475641386,0.8390186211020484,0.6930377308708482
public_only_tight,0.7,5418444.454120331,optimal,653088757161.3118,6621540639.0,646467216522.0,113787332.64948002,105.91169869999999,12271.74249,0.0,2862.0312683924285,0.8318447892891477,0.7012309632141831
public_only_tight,0.6625000000000001,5128170.644078172,optimal,711596195358.7812,6510672404.0,705085522955.0,107691582.41456997,116.28914430000003,12423.8324,0.0,3200.6476652715473,0.8240017593275849,0.7150551935890579
public_only_tight,0.625,4837896.83403601,optimal,770134898702.4667,6399804120.0,763735094582.0,101595832.17965996,125.63229330000003,12715.34531,0.0,3557.7990335358672,0.8153913127082177,0.7311841445523541
public_only_tight,0.5875,4547623.02399385,optimal,829312363775.0798,6288935865.0,823023427910.0,95500081.94475003,135.17170857000005,13006.85827,0.0,3939.0708506226574,0.8058950214380575,0.7473130963469459
public_only_tight,0.55,4257349.213951689,optimal,890335593689.2211,6178067605.0,884157526084.0,89404331.70984003,145.2782293,13298.371209999998,0.0,4355.388762007842,0.7953687682698648,0.7634420479227882
public_only_tight,0.5125,3967075.403909528,optimal,951358789751.4,6067199434.0,945291590318.0,83308585.27656001,155.3847461,13589.88424,0.0,4797.37473502985,0.7836353894357081,0.7795709928333864
public_only_tight,0.475,3676801.593867368,optimal,1012673757168.574,5956331177.0,1006717425992.0,77212835.04165001,169.48295839999997,13415.182879999998,0.0,5269.796565484138,0.7704745917207142,0.7902905091172109
public_only_tight,0.4375,3386527.7838252075,optimal,1075316769914.1488,5845462928.0,1069471306987.0,71117084.80673997,181.11092919999996,13596.99115,0.0,5784.686659138863,0.7556090366582443,0.8056355333551597
public_only_tight,0.4,3096253.973783047,optimal,1138805320953.6504,5734594699.0,1133070726255.0,65021334.57183001,192.16820629999995,13888.50419,0.0,6343.248834478647,0.7386845523269454,0.822295345646392
public_only_tight,0.36250000000000004,2805980.1637408864,optimal,1202344907663.3645,5623726423.0,1196721181241.0,58925584.33691998,204.21561743,14068.64877,0.0,6943.338320479767,0.7192415591487477,0.837923598568931
public_only_tight,0.32500000000000007,2515706.353698726,optimal,1266744771749.584,5512858169.0,1261231913581.0,52829834.10201001,219.4657221,13921.60791,0.0,7598.3028154002,0.6966727037510017,0.8509300333470845
public_only_tight,0.2875,2225432.543656565,optimal,1331884622983.443,5401989886.0,1326482633098.0,46734083.86709999,231.20553920000006,14213.1208,0.0,8314.45209980907,0.6701582729880085,0.8681304137951118
public_only_tight,0.25,1935158.7336144042,optimal,1397024429572.4395,5291121670.0,1391733307902.0,40638333.63219001,242.94535000000005,14504.6339,0.0,9091.42102506505,0.6385644898802371,0.8853307958549902
public_only_tight,0.21250000000000002,1644884.9235722437,optimal,1462382686792.1626,5180253401.0,1457202433391.0,34542583.39728,256.4243186400001,14611.075,0.0,9940.261661506614,0.6002771677123508,0.9014550714088755
public_only_tight,0.17500000000000004,1354611.1135300833,optimal,1527866539166.3562,5069385155.0,1522797154011.0,28446833.542533,270.90353309999995,14611.075,0.0,10870.034862154811,0.5529171132212131,0.9174090730448362
public_only_tight,0.13750000000000007,1064337.3034879228,optimal,1593350424540.9216,4958516903.0,1588391907638.0,22351083.307623006,285.38275120000003,14611.075,0.0,11890.836788276178,0.49282600056082126,0.9339379596617674
public_only_tight,0.1,774063.4934457617,optimal,1658834270335.3733,4847648657.0,1653986621678.0,16255333.452876003,299.86196519999993,14611.075,0.0,13016.722979116092,0.41407329887269734,0.9510733722223583
eaas_tight,1.0,7740634.934457617,optimal,9354203351.271326,9354203351.0,0.0,160428682.99393004,0.0,13107.65092,0.0,31.943339290196853,0.6383570177035829,0.6364267685198546
eaas_tight,0.9625,7450361.124415456,optimal,9454351788.11652,9454351788.0,0.0,156299134.34678,0.0,13399.163840000001,0.0,32.285332777878764,0.630220794550185,0.6500607640763599
eaas_tight,0.925,7160087.314373296,optimal,9901007823.585093,9901007824.0,0.0,150361834.05894005,0.0,13623.17023,1013.7569,33.81060258466108,0.6056667343733182,0.6605374910283625
eaas_tight,0.8875,6869813.504331134,optimal,10893317896.758785,10893317897.0,0.0,144266083.82403004,0.0,13623.17019,5391.4489,37.19920741095462,0.5811126791184305,0.66053749065453
eaas_tight,0.85,6579539.694288975,optimal,16121140315.57066,11378143516.0,4742996800.0,138170333.58912,0.47429968,13823.702809999999,6757.7143,55.14082378436031,0.5565586205427749,0.6699163555846598
eaas_tight,0.8125,6289265.884246814,optimal,23270588508.08799,11632726508.0,11637862000.0,132074583.35420996,1.1637862,14115.215769999999,6757.7143,79.78298401836965,0.5320045639334086,0.6835503518631751
eaas_tight,0.775,5998992.0742046535,optimal,30420036574.086227,11887309574.0,18532727000.0,125978833.11929993,1.8532727,14406.728787,6757.7143,104.54192263007663,0.5074505047880264,0.6971843489796985
eaas_tight,0.7375,5708718.264162493,optimal,37569483522.242645,12141892522.0,25427591000.0,119883082.88439003,2.5427591,14698.241710000002,6757.7143,129.4184693605267,0.48289644960209704,0.7108183447829213
eaas_tight,0.7,5418444.454120331,optimal,44718931552.369064,12396475552.0,32322456000.0,113787332.64948002,3.2322456,14989.754700000001,6757.7143,154.41347057664862,0.4583423915768187,0.7244523415275188
eaas_tight,0.6625000000000001,5128170.644078172,optimal,51974265813.07912,12756944813.0,39217321000.0,107691582.41456997,3.9217321,15232.843820000002,7484.90226,179.89426657459825,0.43378833415251844,0.7358215653056291
eaas_tight,0.625,4837896.83403601,optimal,59761152003.04463,13648966003.0,46112186000.0,101595832.17965996,4.6112186,15232.843832999999,11862.5942,207.34118953090666,0.4092342760442935,0.7358215656117538
eaas_tight,0.5875,4547623.02399385,optimal,72742925140.01543,13899209867.0,58843715273.0,95500081.94475003,5.94273817,15504.29364,12163.885699999999,253.50118971137312,0.38468021861938595,0.7485172123911317
eaas_tight,0.55,4257349.213951689,optimal,86108658829.01788,14102019193.0,72006639636.0,89404331.70984003,7.3217112,15795.8066,12163.885699999999,301.4621677580552,0.3601261615396333,0.7621512087956958
eaas_tight,0.5125,3967075.403909528,optimal,99474390463.58542,14304828645.0,85169561818.0,83308585.27656001,8.700683999999999,16087.319599999999,12163.885699999999,349.8672137879027,0.33557211340409404,0.7757851990540517
eaas_tight,0.475,3676801.593867368,optimal,112840123926.7016,14507638018.0,98332485909.0,77212835.04165001,10.079657000000001,16378.832600000002,12163.885699999999,398.7225481952772,0.31101805553579526,0.7894191957726114
eaas_tight,0.4375,3386527.7838252075,optimal,126205857389.81776,14710447390.0,111495410000.0,71117084.80673997,11.45863,16670.3456,12163.885699999999,448.0344723903452,0.286463997733253,0.8030531924708971
eaas_tight,0.4,3096253.973783047,optimal,139848449693.56598,15190115603.0,124658334091.0,65021334.57183001,12.837603000000001,16826.90438,14190.5111,498.7968916221106,0.2619099420591129,0.8103754142548132
eaas_tight,0.36250000000000004,2805980.1637408864,optimal,154964708074.40012,15844210388.0,139120497686.0,58925584.33691998,14.37378398,16893.37144,17570.057099999998,555.5777796190546,0.2373558855242251,0.8134840656018685
eaas_tight,0.32500000000000007,2515706.353698726,optimal,173983072419.49973,16001420188.0,157981652231.0,52829834.10201001,16.44224297,17184.884420000002,17570.057099999998,628.0088596842079,0.21280182794652802,0.8271180621921633
eaas_tight,0.2875,2225432.543656565,optimal,193001447104.37396,16158629997.0,176842817107.0,46734083.86709999,18.510703,17476.39741,17570.057099999998,701.4329763128308,0.18824777019329958,0.8407520588621704
eaas_tight,0.25,1935158.7336144042,optimal,212019809814.97324,16315839815.0,195703970000.0,40638333.63219001,20.5791618,17767.91041,17570.057099999998,775.8706098315499,0.16369371232658528,0.8543860555927599
eaas_tight,0.21250000000000002,1644884.9235722437,optimal,231038184169.14877,16473049541.0,214565134628.0,34542583.39728,22.6476218,18059.423310000002,17570.057099999998,851.3429847068184,0.1391396556975969,0.8680200516858083
eaas_tight,0.17500000000000004,1354611.1135300833,optimal,250056548622.19955,16630259366.0,233426289256.0,28446833.542533,24.7160808,18350.93631,17570.057099999998,927.8717354784613,0.1145855991114302,0.8816540476899566
eaas_tight,0.13750000000000007,1064337.3034879228,optimal,270589004210.5376,17106194428.0,253482809782.0,22351083.307623006,26.943642670000003,18471.99514,20129.791299999997,1011.5889585343416,0.09003154160263518,0.8873159430630054
eaas_tight,0.1,774063.4934457617,optimal,294747880626.4734,17223702242.0,277524178385.0,16255333.452876003,29.701588150000003,18763.50812,20129.791299999997,1111.8997275786671,0.06547748528112085,0.9009499389396196
public_only_moderate,1.0,7740634.934457617,optimal,9354203249.351326,9354203249.0,0.0,160428682.99393004,0.0,13107.650849999998,0.0,31.94333911396959,0.6383570214673874,0.6364267673295579
public_only_moderate,0.9625,7450361.124415456,optimal,9454351788.11652,9454351788.0,0.0,156299134.34678,0.0,13399.163840000001,0.0,32.285332777878764,0.630220794550185,0.6500607640763599
public_only_moderate,0.925,7160087.314373296,optimal,9901007794.465092,9901007794.0,0.0,150361834.05894005,0.0,13623.17021,1013.7569,33.81060253718003,0.605666735393621,0.6605374907108308
public_only_moderate,0.8875,6869813.504331134,optimal,15325392988.242422,10362281888.0,4963111100.0,144266083.82403004,0.49631111,13833.009170000001,2240.2672,52.42299271873198,0.5811126781769073,0.6703516119112064
public_only_moderate,0.85,6579539.694288975,optimal,25524930702.789932,10251413703.0,15273517000.0,138170333.58912,1.5273517,14268.93031,71.669876,87.6211918323474,0.5565586187985958,0.69073954431915
public_only_moderate,0.8125,6289265.884246814,optimal,64843416314.964806,10140545372.0,54702870943.0,132074583.35420996,13.605468682,12491.810249999999,0.0,225.64664245661453,0.5320045643815146,0.6728745049844955
public_only_moderate,0.775,5998992.0742046535,optimal,115171717096.46179,10029677172.0,105142039925.0,125978833.11929993,18.889572100000002,12783.32327,0.0,407.9428566842212,0.5074505050872234,0.6879726059140056
public_only_moderate,0.7375,5708718.264162493,optimal,166261455514.5258,9918808895.0,156342646619.0,119883082.88439003,24.4981132,13074.836210000001,0.0,599.7820924021353,0.4828964491953547,0.7030707055570851
public_only_moderate,0.7,5418444.454120331,optimal,218061213549.1036,9807940630.0,208253272919.0,113787332.64948002,30.40741164,13366.349180000001,0.0,801.6601607306908,0.45834239196287924,0.7181688057070381
public_only_moderate,0.6625000000000001,5128170.644078172,optimal,270558896319.58658,9697072375.0,260861823944.0,107691582.41456997,36.6115431,13657.86215,0.0,1014.2744050452234,0.43378833467206934,0.7332669058790467
public_only_moderate,0.625,4837896.83403601,optimal,323495840174.8632,9586204105.0,313909636070.0,101595832.17965996,43.01121237,13949.37511,0.0,1237.3313954058822,0.4092342776676218,0.7483650059427842
public_only_moderate,0.5875,4547623.02399385,optimal,377293739603.8973,9475335891.0,367818403713.0,95500081.94475003,49.7970729,14240.88811,0.0,1473.4840872471268,0.384680219267416,0.7634631065342471
public_only_moderate,0.55,4257349.213951689,optimal,431193301427.3168,9364467615.0,421828833812.0,89404331.70984003,60.251543600000005,14031.40052,0.0,1720.26967007633,0.3601261621462999,0.7726622644758219
public_only_moderate,0.5125,3967075.403909528,optimal,485663993634.0053,9253599414.0,476410394220.0,83308585.27656001,68.3157235,14192.83998,0.0,1980.7147963230684,0.3527001176889762,0.7866872319281498
public_only_moderate,0.475,3676801.593867368,optimal,540143372042.6549,9142731174.0,531000640869.0,77212835.04165001,75.4451049,14484.35298,0.0,2253.06351397502,0.34548292260903635,0.8022954836561782
public_only_moderate,0.4375,3386527.7838252075,optimal,595104151202.7437,9031862928.0,586072288275.0,71117084.80673997,82.81010151,14775.86596,0.0,2540.681381218498,0.3370060120474295,0.8179037351626393
public_only_moderate,0.4,3096253.973783047,optimal,650761097436.1522,8920994730.0,641840102706.0,65021334.57183001,90.51376010000001,15067.37901,0.0,2846.0596794898033,0.3274463446424233,0.8335119872999475
public_only_moderate,0.36250000000000004,2805980.1637408864,optimal,706418073697.9961,8810126417.0,697607947281.0,58925584.33691998,98.21742210000001,15358.891909999998,0.0,3166.7066950527656,0.3166071804508791,0.8491202381153493
public_only_moderate,0.32500000000000007,2515706.353698726,optimal,762675470095.9885,8699258168.0,753976211928.0,52829834.10201001,106.24648359999999,15650.404879999998,0.0,3507.525608425702,0.30132047405380474,0.8647284895783124
public_only_moderate,0.2875,2225432.543656565,optimal,818999427027.9694,8588389912.0,810411037116.0,46734083.86709999,114.31160460000001,15941.917839999998,0.0,3866.9210553960907,0.28371069677233696,0.8803367410007766
public_only_moderate,0.25,1935158.7336144042,optimal,875323356626.6569,8477521678.0,866845834949.0,40638333.63219001,122.37672260000001,16233.43087,0.0,4245.99343047702,0.2636778693771115,0.8959449928535198
public_only_moderate,0.21250000000000002,1644884.9235722437,optimal,932263246603.7478,8366653412.0,923896593192.0,34542583.39728,130.8029294,16524.9438,0.0,4650.90502945849,0.23872153856513287,0.9115532441559868
public_only_moderate,0.17500000000000004,1354611.1135300833,optimal,989222812715.127,8255785169.0,980967027546.0,28446833.542533,139.2406831,16816.45679,0.0,5079.693175368532,0.2102297545671422,0.9271614948803668
public_only_moderate,0.13750000000000007,1064337.3034879228,optimal,1046182398827.006,8144916920.0,1038037481908.0,22351083.307623006,147.6784387,17107.96978,0.0,5534.372209201094,0.17749109612613342,0.9427697464822077
public_only_moderate,0.1,774063.4934457617,optimal,1103797001568.9697,8034048687.0,1095762952882.0,16255333.452876003,156.49517255,17399.48274,0.0,6023.085024253228,0.1392659034590301,0.9583779970744388
eaas_moderate,1.0,7740634.934457617,optimal,9354203249.351328,9354203249.0,0.0,160428682.99393004,0.0,13107.650849999998,0.0,31.943339113969596,0.6383570214673874,0.6364267673295579
eaas_moderate,0.9625,7450361.124415456,optimal,9454351788.11652,9454351788.0,0.0,156299134.34678,0.0,13399.163840000001,0.0,32.285332777878764,0.630220794550185,0.6500607640763599
eaas_moderate,0.925,7160087.314373296,optimal,9901007794.465092,9901007794.0,0.0,150361834.05894005,0.0,13623.17021,1013.7569,33.81060253718003,0.605666735393621,0.6605374907108308
eaas_moderate,0.8875,6869813.504331134,optimal,10893317925.878788,10893317926.0,0.0,144266083.82403004,0.0,13623.17021,5391.4489,37.19920745322811,0.5811126781394913,0.6605374909720618
eaas_moderate,0.85,6579539.694288975,optimal,16121140301.01066,11378143501.0,4742996800.0,138170333.58912,0.47429968,13823.7028,6757.7143,55.140823776997884,0.5565586210115627,0.6699163554302804
eaas_moderate,0.8125,6289265.884246814,optimal,23270588500.80799,11632726501.0,11637862000.0,132074583.35420996,1.1637862,14115.215765,6757.7143,79.78298402418494,0.5320045641574616,0.6835503517891737
eaas_moderate,0.775,5998992.0742046535,optimal,30420036477.556225,11887309478.0,18532727000.0,125978833.11929993,1.8532727,14406.72871,6757.7143,104.54192285538647,0.5074505080791925,0.6971843478891767
eaas_moderate,0.7375,5708718.264162493,optimal,37569483565.922646,12141892566.0,25427591000.0,119883082.88439003,2.5427591,14698.241740000001,6757.7143,129.41846921004787,0.48289644838186996,0.71081834518867
eaas_moderate,0.7,5418444.454120331,optimal,44718931508.689064,12396475509.0,32322456000.0,113787332.64948002,3.2322456,14989.754669999998,6757.7143,154.413470785747,0.45834239273500027,0.7244523411408997
eaas_moderate,0.6625000000000001,5128170.644078172,optimal,51974265844.222755,12756944844.0,39217321000.0,107691582.41456997,3.9217321,15232.843840000001,7484.90226,179.89426638745363,0.43378833342176104,0.7358215655527405
eaas_moderate,0.625,4837896.83403601,optimal,59761151988.770996,13648965989.0,46112186000.0,101595832.17965996,4.6112186,15232.843819999998,11862.5942,207.3411896526803,0.4092342764923996,0.7358215654511313
eaas_moderate,0.5875,4547623.02399385,optimal,72742925110.89542,13899209838.0,58843715273.0,95500081.94475003,5.94273817,15504.29362,12163.885699999999,253.5011900074601,0.3846802192674161,0.7485172121558958
eaas_moderate,0.55,4257349.213951689,optimal,86108658756.21788,14102019120.0,72006639636.0,89404331.70984003,7.3217112,15795.806550000001,12163.885699999999,301.46216869059396,0.3601261630562997,0.762151208239489
eaas_moderate,0.5125,3967075.403909528,optimal,99474390463.58542,14304828645.0,85169561818.0,83308585.27656001,8.700683999999999,16087.319599999999,12163.885699999999,349.8672137879027,0.33557211340409404,0.7757851990540517
eaas_moderate,0.475,3676801.593867368,optimal,112840123853.9016,14507637945.0,98332485909.0,77212835.04165001,10.079657000000001,16378.83255,12163.885699999999,398.72254952314637,0.31101805684564343,0.7894191952801706
eaas_moderate,0.4375,3386527.7838252075,optimal,126205857346.13776,14710447346.0,111495410000.0,71117084.80673997,11.45863,16670.34557,12163.885699999999,448.03447330896205,0.2864639984571165,0.8030531921945624
eaas_moderate,0.4,3096253.973783047,optimal,139848449698.77783,15190115608.0,124658334091.0,65021334.57183001,12.837603000000001,16826.904389,14190.5111,498.7968914445222,0.26190994186056743,0.8103754143346316
eaas_moderate,0.36250000000000004,2805980.1637408864,optimal,154964708053.55862,15844210368.0,139120497686.0,58925584.33691998,14.37378398,16893.3714171,17570.057099999998,555.5777802748015,0.23735588598205148,0.8134840654021047
eaas_moderate,0.32500000000000007,2515706.353698726,optimal,173983072398.65823,16001420167.0,157981652231.0,52829834.10201001,16.44224297,17184.884397100002,17570.057099999998,628.0088604402988,0.2128018283569931,0.827118062007002
eaas_moderate,0.2875,2225432.543656565,optimal,193001447106.39758,16158629999.0,176842817107.0,46734083.86709999,18.510703,17476.39741,17570.057099999998,701.4329762598904,0.18824777019329958,0.8407520588621704
eaas_moderate,0.25,1935158.7336144042,optimal,212019809756.73325,16315839757.0,195703970000.0,40638333.63219001,20.5791618,17767.91037,17570.057099999998,775.8706121739098,0.1636937128781003,0.8543860553203467
eaas_moderate,0.21250000000000002,1644884.9235722437,optimal,231038184140.02875,16473049512.0,214565134628.0,34542583.39728,22.6476218,18059.42329,17570.057099999998,851.3429860112935,0.1391396559319908,0.868020051562355
eaas_moderate,0.17500000000000004,1354611.1135300833,optimal,250056548563.95956,16630259308.0,233426289256.0,28446833.542533,24.7160808,18350.93627,17570.057099999998,927.8717383612619,0.11458559949749073,0.8816540474685559
eaas_moderate,0.13750000000000007,1064337.3034879228,optimal,269532206583.8262,17244752700.0,252287453884.0,22351083.307623006,26.784540800000002,18404.72735,21139.9619,1007.1880557195553,0.09003154120797618,0.8841698415111742
eaas_moderate,0.1,774063.4934457617,optimal,291770058651.3175,17614128651.0,274155930000.0,16255333.452876003,29.253274290000004,18573.96227,22976.228499999997,1099.2694981997663,0.06547748515151992,0.8920849212176805
