case,year,subsidy_per_mw_usd,carbon_shadow_usd_per_tco2,solar_eaas_add_mw
baseline_no_policy,2025,0.0,0.0,0.0
baseline_no_policy,2026,0.0,0.0,0.0
baseline_no_policy,2027,0.0,0.0,0.0
baseline_no_policy,2028,0.0,0.0,0.0
baseline_no_policy,2029,0.0,0.0,0.0
baseline_no_policy,2030,0.0,0.0,0.0
baseline_no_policy,2031,0.0,0.0,0.0
baseline_no_policy,2032,0.0,0.0,0.0
baseline_no_policy,2033,0.0,0.0,0.0
baseline_no_policy,2034,0.0,0.0,0.0
baseline_no_policy,2035,0.0,0.0,0.0
baseline_no_policy,2036,0.0,0.0,0.0
baseline_no_policy,2037,0.0,0.0,0.0
baseline_no_policy,2038,0.0,0.0,0.0
baseline_no_policy,2039,0.0,0.0,0.0
baseline_no_policy,2040,0.0,0.0,0.0
baseline_no_policy,2041,0.0,0.0,0.0
baseline_no_policy,2042,0.0,0.0,0.0
baseline_no_policy,2043,0.0,0.0,0.0
baseline_no_policy,2044,0.0,0.0,0.0
baseline_no_policy,2045,0.0,0.0,0.0
ndc2_unconditional,2025,0.0,0.0,0.0
ndc2_unconditional,2026,0.0,21557.111,0.0
ndc2_unconditional,2027,0.0,19597.373,0.0
ndc2_unconditional,2028,0.0,17815.794,0.0
ndc2_unconditional,2029,0.0,16196.176,0.0
ndc2_unconditional,2030,0.0,14723.797,0.0
ndc2_unconditional,2031,0.0,13385.27,0.0
ndc2_unconditional,2032,0.0,12168.427,0.0
ndc2_unconditional,2033,0.0,11062.206,0.0
ndc2_unconditional,2034,0.0,10056.551,0.0
ndc2_unconditional,2035,0.0,9142.3193,0.0
ndc2_unconditional,2036,0.0,8311.1994,0.0
ndc2_unconditional,2037,0.0,7555.6358,0.0
ndc2_unconditional,2038,0.0,3314.2368,0.0
ndc2_unconditional,2039,0.0,2648.9627,0.0
ndc2_unconditional,2040,0.0,5030.2915,0.0
ndc2_unconditional,2041,0.0,5160.6009,0.0
ndc2_unconditional,2042,0.0,4691.4554,0.0
ndc2_unconditional,2043,0.0,4264.9594,0.0
ndc2_unconditional,2044,0.0,3877.2359,0.0
ndc2_unconditional,2045,0.0,3524.7599,0.0
ndc2_conditional,2025,0.0,0.0,0.0
ndc2_conditional,2026,0.0,21557.111,0.0
ndc2_conditional,2027,0.0,19597.373,0.0
ndc2_conditional,2028,0.0,17815.794,0.0
ndc2_conditional,2029,0.0,16196.176,0.0
ndc2_conditional,2030,0.0,14723.797,0.0
ndc2_conditional,2031,0.0,13385.27,0.0
ndc2_conditional,2032,0.0,12168.427,0.0
ndc2_conditional,2033,0.0,11062.206,0.0
ndc2_conditional,2034,0.0,10056.551,0.0
ndc2_conditional,2035,0.0,3584.3777,0.0
ndc2_conditional,2036,0.0,3567.3416,0.0
ndc2_conditional,2037,0.0,2868.7149,0.0
ndc2_conditional,2038,0.0,2579.5648,0.0
ndc2_conditional,2039,0.0,2061.4809,0.0
ndc2_conditional,2040,0.0,2108.4355,0.0
ndc2_conditional,2041,0.0,2207.6394,0.0
ndc2_conditional,2042,0.0,4691.4554,0.0
ndc2_conditional,2043,0.0,4264.9594,0.0
ndc2_conditional,2044,0.0,3877.2359,0.0
ndc2_conditional,2045,0.0,3524.7599,0.0
ndc2_unconditional_eaas,2025,0.0,0.0,1000.0
ndc2_unconditional_eaas,2026,0.0,21557.111,0.0
ndc2_unconditional_eaas,2027,0.0,123.91194,0.0
ndc2_unconditional_eaas,2028,0.0,106.61104,717.97545
ndc2_unconditional_eaas,2029,0.0,92.117622,734.86253
ndc2_unconditional_eaas,2030,0.0,79.945172,0.0
ndc2_unconditional_eaas,2031,0.0,68.14236,474.89175
ndc2_unconditional_eaas,2032,0.0,58.340159,0.0
ndc2_unconditional_eaas,2033,0.0,50.182924,513.64291
ndc2_unconditional_eaas,2034,0.0,42.213576,534.18863
ndc2_unconditional_eaas,2035,0.0,11.378334,555.55618
ndc2_unconditional_eaas,2036,0.0,12.647876,0.0
ndc2_unconditional_eaas,2037,0.0,8.7054197,0.0
ndc2_unconditional_eaas,2038,0.0,7.7024535,0.0
ndc2_unconditional_eaas,2039,0.0,4.8865873,0.0
ndc2_unconditional_eaas,2040,0.0,6.1908175,675.91903
ndc2_unconditional_eaas,2041,0.0,5.4690645,0.0
ndc2_unconditional_eaas,2042,0.0,4.8273756,731.07403
ndc2_unconditional_eaas,2043,0.0,4.2571585,760.31699
ndc2_unconditional_eaas,2044,0.0,3.7507215,790.72967
ndc2_unconditional_eaas,2045,0.0,84.047105,0.0
ndc2_conditional_eaas,2025,0.0,0.0,1000.0
ndc2_conditional_eaas,2026,0.0,21557.111,0.0
ndc2_conditional_eaas,2027,0.0,19597.373,0.0
ndc2_conditional_eaas,2028,0.0,17815.794,1000.0
ndc2_conditional_eaas,2029,0.0,16196.176,1000.0
ndc2_conditional_eaas,2030,0.0,14723.797,0.0
ndc2_conditional_eaas,2031,0.0,68.14236,757.85635
ndc2_conditional_eaas,2032,0.0,58.340159,0.0
ndc2_conditional_eaas,2033,0.0,50.182924,513.64291
ndc2_conditional_eaas,2034,0.0,42.213576,534.18863
ndc2_conditional_eaas,2035,0.0,11.378334,555.55618
ndc2_conditional_eaas,2036,0.0,12.647876,0.0
ndc2_conditional_eaas,2037,0.0,8.7054197,0.0
ndc2_conditional_eaas,2038,0.0,7.7024535,0.0
ndc2_conditional_eaas,2039,0.0,4.8865873,0.0
ndc2_conditional_eaas,2040,0.0,6.1908175,675.91903
ndc2_conditional_eaas,2041,0.0,5.4690645,0.0
ndc2_conditional_eaas,2042,0.0,4.8273756,731.07403
ndc2_conditional_eaas,2043,0.0,4.2571585,760.31699
ndc2_conditional_eaas,2044,0.0,3.7507215,790.72967
ndc2_conditional_eaas,2045,0.0,84.047105,0.0
ndc3_unconditional,2025,0.0,0.0,0.0
ndc3_unconditional,2026,0.0,21557.111,0.0
ndc3_unconditional,2027,0.0,19597.373,0.0
ndc3_unconditional,2028,0.0,17815.794,0.0
ndc3_unconditional,2029,0.0,16196.176,0.0
ndc3_unconditional,2030,0.0,14723.797,0.0
ndc3_unconditional,2031,0.0,13385.27,0.0
ndc3_unconditional,2032,0.0,12168.427,0.0
ndc3_unconditional,2033,0.0,11062.206,0.0
ndc3_unconditional,2034,0.0,10056.551,0.0
ndc3_unconditional,2035,0.0,9142.3193,0.0
ndc3_unconditional,2036,0.0,8311.1994,0.0
ndc3_unconditional,2037,0.0,7555.6358,0.0
ndc3_unconditional,2038,0.0,3314.2368,0.0
ndc3_unconditional,2039,0.0,2648.9627,0.0
ndc3_unconditional,2040,0.0,5030.2915,0.0
ndc3_unconditional,2041,0.0,5160.6009,0.0
ndc3_unconditional,2042,0.0,4691.4554,0.0
ndc3_unconditional,2043,0.0,4264.9594,0.0
ndc3_unconditional,2044,0.0,3877.2359,0.0
ndc3_unconditional,2045,0.0,3524.7599,0.0
ndc3_conditional,2025,0.0,0.0,0.0
ndc3_conditional,2026,0.0,21557.111,0.0
ndc3_conditional,2027,0.0,19597.373,0.0
ndc3_conditional,2028,0.0,17815.794,0.0
ndc3_conditional,2029,0.0,16196.176,0.0
ndc3_conditional,2030,0.0,14723.797,0.0
ndc3_conditional,2031,0.0,11460.29,0.0
ndc3_conditional,2032,0.0,9962.2556,0.0
ndc3_conditional,2033,0.0,8695.7373,0.0
ndc3_conditional,2034,0.0,7474.3398,0.0
ndc3_conditional,2035,0.0,3380.7855,0.0
ndc3_conditional,2036,0.0,3364.7925,0.0
ndc3_conditional,2037,0.0,2705.7494,0.0
ndc3_conditional,2038,0.0,2433.0182,0.0
ndc3_conditional,2039,0.0,1944.2946,0.0
ndc3_conditional,2040,0.0,1988.6481,0.0
ndc3_conditional,2041,0.0,1787.7612,0.0
ndc3_conditional,2042,0.0,4059.2583,0.0
ndc3_conditional,2043,0.0,4264.9594,0.0
ndc3_conditional,2044,0.0,3877.2359,0.0
ndc3_conditional,2045,0.0,3524.7599,0.0
ndc3_unconditional_eaas,2025,0.0,0.0,1000.0
ndc3_unconditional_eaas,2026,0.0,21557.111,0.0
ndc3_unconditional_eaas,2027,0.0,123.91194,0.0
ndc3_unconditional_eaas,2028,0.0,106.61104,674.38267
ndc3_unconditional_eaas,2029,0.0,92.117622,691.26975
ndc3_unconditional_eaas,2030,0.0,79.945172,0.0
ndc3_unconditional_eaas,2031,0.0,68.14236,554.12142
ndc3_unconditional_eaas,2032,0.0,58.340159,0.0
ndc3_unconditional_eaas,2033,0.0,50.182924,592.87259
ndc3_unconditional_eaas,2034,0.0,42.213576,613.4183
ndc3_unconditional_eaas,2035,0.0,11.378334,634.78585
ndc3_unconditional_eaas,2036,0.0,12.647876,0.0
ndc3_unconditional_eaas,2037,0.0,8.7054197,0.0
ndc3_unconditional_eaas,2038,0.0,7.7024535,0.0
ndc3_unconditional_eaas,2039,0.0,4.8865873,0.0
ndc3_unconditional_eaas,2040,0.0,6.1908175,675.91903
ndc3_unconditional_eaas,2041,0.0,5.4690645,0.0
ndc3_unconditional_eaas,2042,0.0,4.8273756,731.07403
ndc3_unconditional_eaas,2043,0.0,4.2571585,760.31699
ndc3_unconditional_eaas,2044,0.0,3.7507215,790.72967
ndc3_unconditional_eaas,2045,0.0,84.047105,0.0
ndc3_conditional_eaas,2025,0.0,0.0,1000.0
ndc3_conditional_eaas,2026,0.0,21557.111,0.0
ndc3_conditional_eaas,2027,0.0,123.91194,0.0
ndc3_conditional_eaas,2028,0.0,106.61104,792.02
ndc3_conditional_eaas,2029,0.0,92.117622,808.90708
ndc3_conditional_eaas,2030,0.0,79.945172,0.0
ndc3_conditional_eaas,2031,0.0,68.14236,639.33291
ndc3_conditional_eaas,2032,0.0,58.340159,0.0
ndc3_conditional_eaas,2033,0.0,50.182924,678.08407
ndc3_conditional_eaas,2034,0.0,42.213576,698.62979
ndc3_conditional_eaas,2035,0.0,11.378334,719.99734
ndc3_conditional_eaas,2036,0.0,12.647876,0.0
ndc3_conditional_eaas,2037,0.0,8.7054197,0.0
ndc3_conditional_eaas,2038,0.0,7.7024535,0.0
ndc3_conditional_eaas,2039,0.0,4.8865873,0.0
ndc3_conditional_eaas,2040,0.0,6.1908175,675.91903
ndc3_conditional_eaas,2041,0.0,5.4690645,0.0
ndc3_conditional_eaas,2042,0.0,4.8273756,731.07403
ndc3_conditional_eaas,2043,0.0,4.2571585,760.31699
ndc3_conditional_eaas,2044,0.0,3.7507215,790.72967
ndc3_conditional_eaas,2045,0.0,84.047105,0.0
